trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",35,0,-247.0756740106851,"{0: 18, 1: 9, 2: 2, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-35.5143122388213,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-163.58072157031407,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,3,-39.04694975201986,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-82.97655806578211,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-77.33289668320408,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-61.23041182312979,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-214.29021881281747,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-107.29917951983445,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",35,0,-294.806141269081,"{0: 14, 1: 6, 2: 8, 3: 4, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-155.33478214143247,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-180.96300546423475,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-46.01562957886024,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-58.7210875844044,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-109.15254618878168,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-21.41968274864561,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-79.17350191156221,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,1,-26.82357659296612,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-123.76498845489779,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-163.2600875808478,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-120.03463391747438,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-162.6376721724729,"{0: 15, 1: 6, 2: 5, 3: 3, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,12,-14.679723276099956,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",35,0,-271.24950188174233,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-70.68672385820818,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,8,-3.756271810666607,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
