trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.69531317229476,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.1473370235622,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.26876900089168,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-232.97660651071342,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.71225334003282,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.37557717934408,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.932564029581123,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.18651133684759,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-32.574378561102556,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.35274052760113,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.83861958606553,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.62470684326863,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.85595025448036,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.53331857320885,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.21211924849476,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,13,-56.71650979562804,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.18483787200702,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.01574905077598,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-151.5650293529607,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.18548435059787,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-60.45127028013284,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.82715346488683,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,18,-55.78189071680487,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.29590250754757,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.11064174516062,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.90847072780511,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,17,-18.31355080142146,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.1434890275685,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,6,-61.42818558023155,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.02887916767054,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
